name,x,y,z,mag,color
Sirius,-0.1874418108,-0.287710433,0.9391955464,-1.46,4290106367
Canopus,-0.0653023725,-0.7965953558,0.6009754065,-0.72,4294961592
Arcturus,-0.7836855826,0.3262623577,-0.5285733455,-0.04,4294964443
Rigil Kentaurus,-0.37253124,-0.8730884559,-0.3145425621,-0.01,4294835967
Vega,0.125121264,0.6260874415,-0.7696487412,0.03,4294931200
Capella,0.1306355042,0.7210435943,0.6804634451,0.08,4294245119
Rigel,0.1950688706,-0.1426991843,0.970353069,0.12,4291879935
Procyon,-0.4168769622,0.0921754159,0.9042772203,0.38,4294957908
Achernar,0.4904359897,-0.8435615317,0.2188069519,0.46,4294946048
Betelgeuse,0.0174730878,0.1287488124,0.9915232899,0.5,4294962112
Hadar,-0.4243301135,-0.8694915547,-0.2528406436,0.61,4294933760
Altair,0.4584214351,0.154432356,-0.8752145081,0.77,4294928128
Aldebaran,0.3418882322,0.2812005085,0.8966820566,0.85,4294961594
Antares,-0.3424479637,-0.4476145058,-0.82605729,0.96,4294959994
Spica,-0.9169183051,-0.1885994495,-0.3516974117,0.98,4294310655
Pollux,-0.3853519541,0.4726413264,0.7925364648,1.14,4294933504
Fomalhaut,0.8362230376,-0.4960086345,-0.233894134,1.16,4294961075
Mimosa,-0.4938479626,-0.8633492242,-0.1036451011,1.25,4292804608
Deneb,0.4546902696,0.7100004692,-0.5377323613,1.25,4294909952
Acrux,-0.4490658331,-0.8919735256,-0.0521833991,1.33,4289122303
Toliman,-0.37253124,-0.8730884559,-0.3145425621,1.33,4294835967
Regulus,-0.8640801214,0.207860426,0.4584316603,1.35,4294961594
Adhara,-0.221365593,-0.4844146708,0.8463685373,1.5,4293654015
Gacrux,-0.5383932059,-0.8394437207,-0.073939135,1.63,4291815167
Shaula,-0.0918926109,-0.6029469798,-0.7924712535,1.63,4294967035
Bellatrix,0.1552072171,0.1098494993,0.9817554722,1.64,4290969600
Elnath,0.1264933072,0.4782956778,0.8690412463,1.65,4294963146
Miaplacidus,-0.2566756853,-0.9379933468,0.2329937209,1.68,4294964962
Alnilam,0.102223314,-0.0215821931,0.9945273264,1.7,4291092991
Alnair,0.6029313173,-0.7308966643,-0.3197872618,1.74,4294962077
Alioth,-0.5442893804,0.8286448776,-0.1307544924,1.77,4294960252
